day10,31:38.0,6.72,108,77.7,25.9,682,164
day10,41:39.0,8.07,108,77.6,25.9,683,183
day10,51:40.1,6.68,153,77.1,26,684,198
day10,01:41.1,7.23,177,77.2,26.1,682,206
day10,11:42.2,7.6,191,77.3,26,684,212
day10,21:43.3,7.94,199,77.2,26.1,683,219
day10,31:44.3,7.97,205,77.1,26.3,684,216
day10,41:45.4,8.08,209,76.6,26.4,684,221
day10,51:46.4,8.12,222,74.4,27.4,682,230
day10,01:47.5,8.19,217,71.9,28.1,684,236
day10,11:48.6,8.3,222,68.7,29.4,684,236
day10,21:49.6,8.34,223,66.7,30.1,685,237
day10,31:50.7,8.3,223,65.8,30.4,682,241
day10,41:51.7,8.42,225,64,31.5,685,239
day10,51:52.8,8.34,224,60.5,32.7,685,235
day10,01:53.9,8.27,219,61.4,32.1,682,237
day10,11:54.9,8.3,218,61.5,32.2,682,233
day10,21:56.0,8.3,217,64.6,30.8,685,239
day10,31:57.0,8.38,217,65.6,30.7,683,243
day10,41:58.1,8.38,217,64.7,30.5,685,244
day10,51:59.2,8.38,217,65.1,30,685,246
day10,02:00.2,8.38,216,64.3,30.3,682,247
day10,12:01.3,8.38,216,64.6,30.4,684,248
day10,22:02.3,8.27,216,64.2,30.4,685,249
day10,32:03.4,8.42,216,62.8,30.5,685,246
day10,42:04.4,8.27,215,63.6,30.4,684,250
day10,52:05.5,8.27,215,62.9,30.6,685,256
day10,02:06.6,8.23,215,62.9,30.6,685,239
day10,12:07.6,8.19,213,62.5,30.5,683,243
day10,22:08.7,8.08,213,59.7,30.5,684,253
day10,32:09.7,8.23,212,56.4,30.5,685,259
day10,42:10.8,8.16,212,56.3,30.7,684,243
day10,52:11.9,8.19,211,55.8,30.6,683,257
day10,02:12.9,8.19,210,55.7,30.5,682,259
day10,12:14.0,8.12,209,53,30.5,682,254
day10,22:15.0,8.19,208,56.4,30.4,684,247
day10,32:16.1,8.08,207,58.6,30.4,685,249
day10,42:17.2,8.01,206,59.5,30.4,683,246
day10,52:18.2,8.01,206,59.4,30.4,684,246
day10,02:19.3,8.08,205,60.3,30.1,681,247
day10,12:20.3,8.01,205,60.2,30.2,682,248
day10,22:21.4,8.01,204,58.3,30.2,682,232
day10,32:22.4,8.05,204,60.9,30.1,684,252
day10,42:23.5,7.97,204,59.4,30,682,252
day10,52:24.6,7.97,203,58.3,29.9,682,246
day10,02:25.6,7.97,202,59.8,29.9,684,245
day10,12:26.7,7.94,202,59.7,29.9,684,246
day10,22:27.7,7.97,202,61.5,29.7,684,247
day10,32:28.8,8.27,201,62.8,29.8,682,241
day10,42:29.9,8.27,200,61.3,29.6,684,240
day10,52:30.9,8.12,200,62.9,29.6,682,245
day10,02:32.0,8.27,199,64.3,29.6,684,246
day10,12:33.0,8.19,199,63.6,29.6,684,245
day10,22:34.1,8.16,198,62.7,29.5,682,245
day10,32:35.2,8.08,197,62.6,29.4,682,245
day10,42:36.2,8.08,195,62.6,29.4,684,246
day10,52:37.3,8.08,196,62.8,29.3,684,245
day10,02:38.3,8.08,195,63.6,29.3,682,245
day10,12:39.4,8.01,194,64.5,29.2,684,245
day10,22:40.4,7.97,193,65.2,29.1,684,244
day10,32:41.5,8.08,192,63.2,29,684,239
day10,42:42.6,8.01,190,63.4,29.1,684,242
day10,52:43.6,8.08,189,63.5,29.1,685,241
day10,02:44.7,8.01,185,63.9,29.1,685,241
day10,12:45.7,7.97,181,64.8,28.9,685,242
day10,22:46.8,8.01,178,65.5,28.8,684,240
day10,32:47.9,7.97,172,67.5,28.7,685,239
day10,42:48.9,7.94,163,67.6,28.6,682,239
day10,52:50.0,7.94,148,68,28.6,684,239
day10,02:51.0,8.01,129,68.6,28.5,685,238
day10,12:52.1,7.97,96,69.7,28.4,682,239
day10,22:53.1,7.86,37,69,28.2,685,239
day10,32:54.2,7.83,0,69.9,28.2,683,237
